image_0001,115.16766 220.807529,116.164839 245.721357,120.20869 270.389841,126.818237 293.156059,135.630967 313.719094,148.115667 336.485312,162.069155 357.782742,175.244288 375.646752,196.629641 382.645477,218.251194 381.353984,240.107363 364.628222,258.624908 347.083661,276.182758 326.369112,287.933064 300.889178,292.640683 273.327417,296.864703 246.434902,300.377962 218.496828,123.880661 214.575887,139.490678 215.929559,153.266075 219.788449,167.524839 225.304335,181.178785 232.537082,209.926602 232.365554,228.769747 226.989098,245.270669 222.183443,262.623085 220.119501,278.396024 221.284493,195.438309 247.230838,193.878987 266.412131,192.71565 283.702654,191.41345 299.777554,175.394672 303.212546,183.252244 309.321263,192.860805 313.386123,203.029501 309.992086,211.167139 305.865789,143.511472 240.605877,152.87361 234.904027,165.885257 234.655325,175.515413 243.565778,165.006732 245.420441,152.026189 244.447496,222.758288 246.624566,233.246081 239.604592,245.639459 238.31505,255.057142 244.458884,245.790086 249.092411,234.108232 249.773901,162.766194 318.246815,173.239365 319.463029,184.243161 320.665411,193.282615 323.76165,203.914072 322.47892,217.708849 323.720545,234.03978 323.266218,216.911898 345.507827,203.746197 349.087438,192.056977 349.25232,181.960552 346.648746,170.687582 338.371143,169.898521 322.774535,183.94098 324.969545,193.29101 327.191247,203.605936 327.453212,227.819411 327.220701,203.605936 336.539751,193.356785 336.194279,183.164758 334.765621
image_0740,71.919043 226.996167,77.299623 251.396565,88.623208 271.854633,99.544098 290.593698,110.264092 310.394902,125.150803 328.988875,140.037515 342.956677,151.41972 351.982084,164.528138 355.832575,179.215815 352.497341,195.512513 341.546689,217.121775 323.5275,236.863455 305.076757,252.782544 289.124184,263.558342 267.079649,267.890118 243.028812,267.801766 209.468635,71.677962 191.207139,84.629484 183.769499,98.537761 181.183903,112.044247 184.919066,125.723726 191.068693,161.362176 182.99382,178.317364 172.790944,193.213841 164.842819,208.695333 162.128614,226.915418 164.944868,146.161291 211.566135,148.095092 229.337667,149.749941 249.793873,151.262564 268.572564,142.23862 278.384044,149.822581 280.206906,156.463494 281.517104,164.997751 278.023234,173.674319 275.422163,89.283557 212.653774,99.285538 204.433809,113.050584 203.743697,128.430087 213.956046,114.631704 218.572743,100.49277 221.331333,179.898484 206.301391,187.227441 192.190358,202.889831 187.908313,217.517983 191.874135,208.780899 204.203151,194.956328 207.73742,132.994477 311.991654,143.254358 303.711463,153.553203 298.611526,159.348861 301.944132,167.860577 298.66924,183.316296 301.621252,193.701025 303.533509,184.030417 318.151378,169.922002 324.089825,160.539899 326.979026,152.25707 326.520559,143.295767 319.283603,138.514059 312.147155,152.439507 311.255886,160.282332 311.937983,168.582763 311.744653,189.468368 305.752178,168.582763 311.744653,160.282332 311.937983,152.439507 311.255886
image_0741,122.014642 110.174095,122.403987 126.423173,124.345082 142.697103,125.605933 158.710488,130.955913 176.538267,143.910032 189.360516,159.22207 197.221939,173.468882 204.045281,186.618371 205.778573,196.51633 203.691454,206.273218 194.321938,213.801917 184.883034,219.312883 173.784822,225.041201 158.937883,228.928699 145.860078,231.615945 132.394903,229.916197 120.342736,134.118749 97.821432,145.9963 91.210845,157.661095 86.685079,173.712884 86.967221,185.167222 93.154595,202.209762 98.461278,210.843367 92.954497,219.999503 91.626718,228.818182 95.457997,234.060935 101.816125,194.672079 112.264839,195.065181 121.39962,196.47819 129.705358,197.714286 138.329082,185.590435 150.101404,190.290816 151.303956,194.567985 153.391075,198.455484 152.224365,201.601784 149.996175,150.95954 110.729735,159.151424 104.431993,168.372401 104.009843,174.417071 113.235593,167.62373 115.055187,158.737306 114.966031,203.294321 115.399137,209.840542 107.663491,219.269027 107.897945,222.988403 113.062796,219.535852 117.450569,211.875753 117.552593,167.973226 172.145873,178.877667 165.000662,187.548921 162.05977,192.196714 164.187761,196.435123 162.637089,203.578364 167.647849,208.385861 176.216267,202.558032 179.567656,194.742847 179.968729,189.983753 179.558938,184.574281 179.120555,177.224209 177.235314,172.029528 171.887323,186.444671 170.952597,191.046791 171.402605,195.275638 171.65259,204.854226 174.610411,195.275638 171.65259,191.046791 171.402605,186.444671 170.952597
image_0742,147.98062 130.447894,146.863015 146.309353,147.467616 160.908906,149.898829 174.615487,156.594374 188.279851,167.701952 200.033582,180.5 209.161711,196.096555 215.566418,211.779564 217.891676,225.362572 214.942997,237.612284 205.232434,243.93054 194.350115,247.998622 182.833008,252.326062 172.348851,255.920896 161.714523,256.705855 152.308783,256.296326 142.643686,169.67647 120.258939,178.592199 112.80493,190.638932 110.971024,201.01402 114.640726,211.307785 120.841533,232.963646 122.432023,240.738484 120.709789,247.871699 119.881815,253.719907 121.17159,257.804131 125.055716,221.54248 132.482607,222.488978 139.747359,224.491159 147.680999,226.418254 155.689724,211.218623 165.20551,215.461224 166.882521,219.406878 168.306426,223.378984 167.210194,226.416689 166.198184,182.060405 130.883841,189.441001 127.628839,196.975622 128.425117,202.549734 134.687447,195.623436 136.066393,187.729645 135.098587,232.655005 139.031146,239.141235 133.898677,246.002157 135.432407,249.563829 140.727049,244.950985 142.688819,239.112402 142.336887,193.782664 184.511109,205.046176 181.091836,212.975211 178.975116,218.081004 180.211268,223.598393 179.0487,228.330547 182.349139,231.700988 186.527526,225.929477 191.610597,220.80177 192.677104,215.702415 192.548643,211.183699 192.271656,205.015376 189.323363,197.960874 185.069868,212.717057 184.614634,217.041549 185.148732,221.621756 185.285182,228.393931 186.500982,221.621756 185.285182,217.041549 185.148732,212.717057 184.614634
image_0743,176.394988 134.74821,174.963007 157.659905,174.724075 178.226679,177.110979 200.619332,177.110979 224.247017,181.979718 243.698752,193.241092 257.975589,215.058473 265.774463,237.964508 268.597306,265.547871 270.745278,292.168532 271.079885,316.887932 269.143164,332.271752 257.438523,346.542688 238.525707,355.093455 215.361643,362.25336 194.721275,368.949643 168.270747,189.875451 105.216811,202.681042 91.067134,219.360074 82.645381,238.838728 82.544502,254.185232 90.325549,290.986151 97.119437,311.08343 91.577531,329.740301 96.71282,343.848858 109.342621,354.928981 124.084932,263.745823 120.428401,261.850222 130.070884,259.743369 138.498295,257.554279 147.34255,244.238291 167.091136,248.83338 168.863382,254.056564 170.213126,260.388564 170.780844,268.275235 171.932407,207.476066 125.733823,215.692226 118.785169,228.662291 118.069178,241.046781 127.885936,230.094272 129.566144,215.903477 131.080362,292.133072 134.325708,301.35871 126.790078,316.729117 129.190419,328.267201 138.539414,317.145961 140.347119,304.217014 138.915138,216.701326 213.913528,223.270456 193.050993,241.70486 184.053458,247.72596 186.410032,258.271722 185.627713,277.430677 200.07438,285.327064 216.745626,272.362407 220.060106,253.6336 219.080538,242.501584 218.362159,235.815433 218.382146,224.413721 217.054839,221.186595 210.61573,238.815334 198.799529,246.124576 198.744793,255.200209 201.595071,272.624026 209.809891,255.064556 207.132143,244.900676 206.282957,238.596697 207.081092
image_0744,125.215625 120.948125,126.057118 145.272426,131.590776 167.623907,144.392992 189.112142,158.595492 208.357475,171.403058 230.324708,186.395625 250.409375,204.714959 273.888775,220.935958 276.922459,250.013791 270.308842,281.023458 251.511225,303.799035 230.955822,325.751501 205.377587,340.2795 171.485902,346.387748 134.558002,341.146365 97.297583,329.982187 61.238184,103.628206 70.584398,112.667761 61.179882,126.334852 58.4826,139.796953 63.038538,152.588105 68.974956,180.825241 56.959559,198.724908 45.614892,217.892844 37.292204,238.130525 35.585077,260.102735 38.195171,172.8623 96.192667,172.656723 116.26583,172.125936 135.900584,171.394963 156.209056,171.006074 171.892176,178.050428 174.533002,184.228117 176.231281,193.672725 170.900692,202.236875 166.833125,129.273842 104.082341,133.029626 90.182275,146.770735 88.949409,163.443775 101.887992,150.518975 107.409108,135.409175 110.384175,215.883775 87.929308,219.775492 70.878325,235.508858 64.449908,255.525558 75.541409,243.264242 83.188909,229.774492 86.954042,173.844328 220.936486,171.317024 209.675925,181.762275 197.534327,188.126222 201.339823,195.403766 195.898405,227.63284 199.70929,246.41175 205.407769,233.59572 219.014511,211.30418 228.994424,202.16517 230.949867,193.253854 231.784025,183.618005 226.29179,182.239421 219.744922,187.947684 215.403886,193.302903 212.388748,201.822924 210.789821,241.073482 207.589363,201.822924 210.789821,193.302903 212.388748,187.947684 215.403886
image_0745,129.26737 178.007189,127.518199 192.267554,126.808521 207.528118,130.811841 224.641451,141.121183 240.671249,149.361048 261.289932,156.988831 277.098024,166.371788 295.5066,179.562876 298.740686,201.069906 298.562016,224.489261 289.021909,245.346169 278.907756,262.990511 266.171601,277.595954 249.903577,285.104624 226.820042,288.49586 198.140163,289.422245 171.193939,122.707608 157.000391,126.255995 144.209677,136.624893 137.66543,149.33953 142.454503,160.575256 150.694368,184.059165 149.767984,199.217137 140.818441,218.633172 138.098844,238.206071 144.147108,254.488544 151.079874,171.292394 173.55956,168.592372 187.437885,165.486019 200.963092,162.627893 214.408287,160.613294 225.34613,164.871359 227.653831,170.017769 229.5066,177.450363 226.846559,184.628212 225.112903,136.806104 173.234383,141.730456 166.012708,152.758349 165.383952,163.730257 175.59337,153.86645 177.512577,143.715408 177.973675,201.150255 174.484719,209.335155 163.795659,223.680087 163.600369,233.758319 171.035824,224.619664 176.52214,212.546332 176.518003,157.216749 254.985424,158.857574 247.220075,163.864673 244.36275,170.660671 245.291745,184.163502 247.233086,196.750262 249.804239,208.707465 255.521719,198.005537 261.173084,186.458792 266.40187,173.428202 267.959714,164.285334 265.938319,160.569583 259.364854,159.712532 255.186911,164.854839 253.5,172.66129 254.209677,187.751951 256.311518,204.261966 256.043962,187.337021 256.981135,173.205262 256.073225,164.854839 254.919355
image_0747,21.42409 217.942284,22.929737 241.279799,25.941029 264.617315,30.457967 287.202008,36.307716 313.3223,48.932872 334.864176,63.526503 354.203262,88.882376 358.430208,111.988477 356.578889,129.074892 349.340651,144.828498 330.520074,162.489102 311.060931,178.005495 290.037565,185.246631 265.314458,186.755176 244.578186,188.605875 223.572215,190.809285 205.144291,29.995137 205.027134,34.33924 190.087829,49.217067 187.252272,63.924957 187.249373,79.271411 192.516236,114.024229 192.809129,129.022112 187.770782,143.38143 187.539367,156.117945 192.111984,168.971618 197.785998,96.879235 210.704046,96.126412 224.31344,95.142175 238.672758,93.9851 253.439226,80.364992 265.650712,87.84246 267.628607,94.793603 268.38143,103.133235 266.934362,109.677227 264.790151,45.742945 209.66123,53.446911 203.752903,65.723495 204.215733,73.655978 209.599752,64.276428 211.281134,54.662564 210.991141,126.236437 209.544072,135.794621 206.647038,144.889976 206.53278,151.606805 210.586889,143.035758 211.978277,134.983219 211.919699,63.696441 301.678482,76.087283 293.397428,86.685385 290.503293,94.969338 292.064619,104.410365 290.617551,117.14978 292.413191,127.223573 300.172836,117.480612 305.065148,104.680296 307.528461,94.672293 307.991291,85.888281 307.528461,75.402115 306.073057,68.521003 300.153853,86.163976 297.451538,94.821459 297.690539,104.366632 297.474458,121.778077 298.840027,104.366632 297.474458,94.821459 297.690539,86.163976 297.451538
image_0748,286.389163 317.051724,289.935961 344.243842,294.665025 369.662562,304.714286 390.94335,318.040392 406.42908,333.08867 416.953202,350.603934 426.900009,369.147783 431.577846,392.536969 432.760112,418.393141 429.315768,443.476861 425.229064,465.502463 413.830038,482.491639 397.869447,493.132033 380.070411,502.152709 355.126553,506.379275 330.852691,510.787159 306.41133,293.123449 248.460756,306.739516 234.793506,324.761045 229.96644,341.993073 228.330546,358.251255 231.928571,404.352872 227.940537,425.701647 226.531438,443.014753 224.970254,462.134618 226.593927,481.220419 238.381469,381.777808 259.478836,380.867989 270.482308,379.248271 281.057656,377.898506 292.66159,363.892631 317.977856,372.810853 317.707902,381.240396 318.196582,389.758574 316.846816,399.435429 315.34337,313.74878 273.847788,325.224 262.011468,342.797753 260.080811,354.33605 270.53542,339.707405 276.109866,324.440401 278.050765,416.066017 268.37391,429.44335 253.158133,446.432526 255.741391,460.131039 264.71084,449.234511 270.957169,433.222693 271.818255,349.727159 363.933531,359.34424 347.938405,372.888971 337.598756,380.032516 339.556125,388.803211 336.816297,408.335155 344.862052,420.678809 359.562073,410.290355 365.936589,394.042011 371.259624,383.215562 371.347743,375.040745 371.557479,362.387196 370.98767,354.711378 361.043869,373.788212 354.228058,381.561576 353.483244,389.809801 352.994565,414.869933 357.569948,389.809801 352.994565,381.561576 353.483244,373.788212 354.228058
image_0749,63.902693 153.804774,63.902693 170.940636,65.126683 189.912485,67.009588 208.507848,70.145572 227.597951,76.975797 244.345251,87.9864 257.352013,101.460258 267.064559,117.748374 270.230941,139.73498 264.814607,161.384166 257.330231,181.034974 245.593144,198.265991 230.18479,211.35576 211.438605,217.07207 193.11775,217.945755 173.896205,218.400213 154.115953,71.241782 136.440678,78.611685 130.033449,89.887065 125.135469,101.263568 123.018141,111.956012 125.036372,132.921525 123.453671,147.667321 122.447715,160.198931 121.969366,172.288848 123.77343,184.933128 127.565759,118.987474 143.110654,116.534071 154.194739,113.83614 165.245912,111.073352 176.17617,99.398409 187.464504,106.762771 191.060897,114.704966 193.903358,123.094337 190.912819,132.606125 189.140509,74.450083 150.375317,80.635912 143.825211,90.924431 142.242893,100.054837 148.445378,91.343432 151.665335,82.688598 153.090066,143.462056 144.867361,151.787474 138.714397,163.615182 138.204843,173.675823 144.431853,164.512404 147.717836,153.027971 148.732326,92.908976 222.574232,100.462418 212.589951,110.001489 207.461787,114.623646 208.938095,120.024032 207.256472,133.705535 210.140317,147.376541 219.078749,134.467207 227.653364,122.464951 229.584747,117.149458 229.992081,110.676115 230.411113,102.170345 228.195081,98.047452 221.140742,110.722862 216.807255,115.69627 216.807255,120.620157 216.211767,143.70457 219.271743,120.620157 216.211767,115.69627 216.807255,110.722862 216.807255
image_0750,100.307453 140.846708,103.675001 160.789819,106.236483 178.927982,109.477241 196.006119,115.897517 212.898602,123.735183 226.689781,132.127429 237.064836,146.540306 244.206268,162.650251 246.18549,180.292103 246.596923,196.066268 244.024899,219.37471 229.097209,236.611377 214.682892,248.550476 198.111954,254.288333 179.546922,255.825648 160.255035,256.139541 140.948746,106.636806 110.308921,118.457752 105.01165,129.515289 106.094765,141.594799 107.978511,152.033275 113.707863,164.635565 108.780117,179.737708 106.531401,193.730089 102.513486,209.053495 102.886621,220.329693 108.655119,157.711202 127.62132,155.946428 137.474174,154.17562 148.210441,151.350927 159.441449,145.024492 173.625903,149.46412 174.183321,155.248291 175.614777,160.883696 174.170878,166.427942 173.183763,117.864908 131.295918,125.199446 125.199176,134.968965 124.666011,143.278173 130.983272,135.534463 136.649858,125.605779 137.717405,182.390496 130.217403,191.05682 122.644206,200.378481 123.094333,207.494507 128.707425,201.110716 133.452973,191.528311 133.3222,139.121118 202.546784,144.192033 193.691553,150.78845 189.476998,157.144968 190.957866,164.609273 187.253543,175.528576 189.623992,187.806309 198.21872,177.787573 204.616438,168.042018 206.466327,159.913059 207.989407,153.190383 208.610641,146.012184 206.38562,143.094895 199.281229,152.299588 196.909485,158.239258 196.965911,166.39363 195.266247,183.279569 197.2569,166.39363 195.266247,158.239258 196.965911,152.299588 196.909485
image_0751,185.21164 176.84487,183.793783 204.826562,185.479652 231.970393,187.325233 260.274302,194.74293 285.304018,208.270994 308.048612,229.427366 329.870989,258.697206 350.200718,285.850344 353.392072,309.633468 349.375514,331.010249 334.74545,354.095974 316.449594,372.578628 293.345147,382.404586 265.708369,387.836251 240.427113,395.061533 212.793388,398.85797 185.399016,210.579523 148.343366,227.499433 137.376613,246.625712 135.525162,266.951972 139.736622,281.625839 149.916774,318.97366 153.661536,337.337746 148.633155,355.598703 150.549292,370.930712 155.361759,382.528171 164.963086,299.144928 170.354741,296.981982 186.331167,295.111455 202.228294,293.281983 220.279546,275.291199 237.592848,282.421944 240.795264,291.02608 245.248933,298.819737 243.236838,306.196673 241.01581,232.737832 164.860132,247.100585 159.425965,262.019945 162.036764,269.868935 175.577925,255.941422 175.555947,241.061848 173.491367,322.597901 181.025125,334.634285 170.536798,348.406444 171.471111,358.511697 178.329083,348.650648 185.921726,335.922889 183.428857,247.575175 277.857025,263.552983 272.707726,280.768132 270.95088,288.684239 274.711346,297.264433 272.63727,310.603449 277.799854,323.465018 283.503756,309.223226 291.11287,296.588598 294.425065,286.299697 294.113865,276.70035 293.470204,261.10056 286.887516,252.284816 279.264735,279.29223 280.918904,287.928704 282.661052,297.090152 281.889259,317.648802 283.248714,297.090152 281.889259,287.928704 282.661052,279.29223 280.918904
image_0752,157.952921 141.675774,154.6309 165.050892,152.658915 184.072351,152.499716 205.533497,157.33097 224.193389,165.580512 241.670204,177.794163 260.030578,193.302299 273.792235,212.546935 278.415104,230.491107 276.75597,248.684923 266.420949,263.676215 252.410125,275.877036 235.725375,283.689094 219.405078,288.862575 200.226037,293.839559 181.66744,300.350666 163.194398,167.865572 132.518983,183.226017 129.406652,196.416764 132.054203,207.856458 136.448608,217.311999 142.842193,247.056174 147.101148,260.039852 144.431875,270.659178 144.485996,281.737789 145.513043,291.611434 150.149961,229.544969 158.82481,228.06543 171.483023,226.183994 184.505473,223.944904 198.504256,212.103173 202.566614,217.474096 205.987011,222.592405 209.343129,228.515908 207.956838,233.944512 206.816426,182.480652 150.33992,192.090093 145.875181,202.070996 147.379467,209.298765 154.134588,199.115491 155.851137,188.773019 154.761486,248.590534 158.917722,258.614609 156.89267,268.228998 158.970788,274.415233 162.765457,265.842377 167.702842,256.956072 166.299742,195.267757 229.019695,206.364521 225.272615,215.541289 224.187999,221.847467 227.450415,228.576491 226.485671,235.899457 229.698807,243.999551 233.605311,234.051553 242.284956,226.469851 245.764314,219.461352 245.405032,211.030178 243.503962,202.041343 238.968598,199.057478 230.109347,213.949361 231.37742,220.816064 233.521745,228.100655 233.011744,238.870013 234.058266,228.100655 233.011744,220.816064 233.521745,213.949361 231.37742
